,start_time,end_time,activity,real_start,real_end
0 days 12:39:08.626556,0 days 00:01:10.626556000,0 days 00:01:12.126083000,search,0 days 12:39:08.626556000,0 days 12:39:10.126083000
0 days 12:40:10.176319,0 days 00:00:27.176319000,0 days 00:00:28.981760000,approach,0 days 12:40:10.176319000,0 days 12:40:11.981760000
0 days 12:40:12.070721,0 days 00:00:29.070721000,0 days 00:00:29.701759000,search,0 days 12:40:12.070721000,0 days 12:40:12.701759000
0 days 12:40:51.411507,0 days 00:01:08.411507000,0 days 00:01:11.541107000,search,0 days 12:40:51.411507000,0 days 12:40:54.541107000
0 days 12:41:45.781441,0 days 00:00:18.781441000,0 days 00:00:19.234560000,search,0 days 12:41:45.781441000,0 days 12:41:46.234560000
0 days 12:42:57.621437,0 days 00:01:30.621437000,0 days 00:01:31.896309000,approach,0 days 12:42:57.621437000,0 days 12:42:58.896309000
0 days 12:42:58.955200,0 days 00:01:31.955200000,0 days 00:01:32.385910000,search,0 days 12:42:58.955200000,0 days 12:42:59.385910000
0 days 12:44:26.848000,0 days 00:01:14.848000000,0 days 00:01:15.125763000,search,0 days 12:44:26.848000000,0 days 12:44:27.125763000
0 days 12:46:07.804802,0 days 00:01:11.804802000,0 days 00:01:12.816002000,search,0 days 12:46:07.804802000,0 days 12:46:08.816002000
0 days 12:47:42.375999,0 days 00:01:01.375999000,0 days 00:01:01.742081000,search,0 days 12:47:42.375999000,0 days 12:47:42.742081000
0 days 12:50:10.011803,0 days 00:01:45.011803000,0 days 00:01:45.037399000,empty,0 days 12:50:10.011803000,0 days 12:50:10.037399000
0 days 12:51:55.002197,0 days 00:01:45.002197000,0 days 00:01:45.027802000,empty,0 days 12:51:55.002197000,0 days 12:51:55.027802000
0 days 12:53:40.050201,0 days 00:01:45.050201000,0 days 00:01:45.075798000,empty,0 days 12:53:40.050201000,0 days 12:53:40.075798000
0 days 12:55:24.037399,0 days 00:01:45.037399000,0 days 00:01:45.063004000,empty,0 days 12:55:24.037399000,0 days 12:55:24.063004000
0 days 12:57:09.071999,0 days 00:01:45.071999000,0 days 00:01:45.097603000,empty,0 days 12:57:09.071999000,0 days 12:57:09.097603000
0 days 12:58:53.050903,0 days 00:01:45.050903000,0 days 00:01:45.076500000,empty,0 days 12:58:53.050903000,0 days 12:58:53.076500000
0 days 13:00:38.013802,0 days 00:01:45.013802000,0 days 00:01:45.039398000,empty,0 days 13:00:38.013802000,0 days 13:00:38.039398000
0 days 13:02:21.946602,0 days 00:01:44.946602000,0 days 00:01:44.972198000,empty,0 days 13:02:21.946602000,0 days 13:02:21.972198000
0 days 13:04:07.091797,0 days 00:01:45.091797000,0 days 00:01:45.117401000,empty,0 days 13:04:07.091797000,0 days 13:04:07.117401000
0 days 13:05:51.075203,0 days 00:01:45.075203000,0 days 00:01:45.100800000,empty,0 days 13:05:51.075203000,0 days 13:05:51.100800000
0 days 13:07:36.056602,0 days 00:01:45.056602000,0 days 00:01:45.082199000,empty,0 days 13:07:36.056602000,0 days 13:07:36.082199000
0 days 13:09:20.082901,0 days 00:01:45.082901000,0 days 00:01:45.108498000,empty,0 days 13:09:20.082901000,0 days 13:09:20.108498000
0 days 13:09:53.776001,0 days 00:00:33.776001000,0 days 00:00:34.732800000,search,0 days 13:09:53.776001000,0 days 13:09:54.732800000
0 days 13:12:50.035500,0 days 00:01:45.035500000,0 days 00:01:45.061096000,empty,0 days 13:12:50.035500000,0 days 13:12:50.061096000
0 days 13:14:33.974701,0 days 00:01:44.974701000,0 days 00:01:45.000298000,empty,0 days 13:14:33.974701000,0 days 13:14:34.000298000
0 days 13:14:35.151360,0 days 00:00:01.151360000,0 days 00:00:01.527680000,search,0 days 13:14:35.151360000,0 days 13:14:35.527680000
0 days 13:17:51.798401,0 days 00:01:33.798401000,0 days 00:01:35.266579000,search,0 days 13:17:51.798401000,0 days 13:17:53.266579000
0 days 13:18:51.634880,0 days 00:00:48.634880000,0 days 00:00:49.403519000,search,0 days 13:18:51.634880000,0 days 13:18:52.403519000
0 days 13:21:33.127701,0 days 00:01:45.127701000,0 days 00:01:45.153297000,empty,0 days 13:21:33.127701000,0 days 13:21:33.153297000
0 days 13:23:17.079002,0 days 00:01:45.079002000,0 days 00:01:45.104599000,empty,0 days 13:23:17.079002000,0 days 13:23:17.104599000
